"H","18","tronc commun","TC02","0","0","2","0","0","5","2","5","5","5","15",,"20:00:00","22:00:00","5","Oui","Mardi, Jeudi","4","10"
"H","20","branche","GSM02","0","0","-1","-5","0","-1","5","0","0","5","20",,"20:00:00","22:00:00","8","Non","Jeudi, Vendredi","3","12"
"H","23","branche","GSM06","0","-5","0","0","-1","0","-5","2","5","5","20",,"19:30:00","22:00:00","10","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","4"
"H","19","tronc commun","TC02","0","2","2","5","-5","2","2","2","2","5","15",,"20:15:00","22:00:00","10","Oui","Mardi, Jeudi, Vendredi","3","6"
"F","19","tronc commun","TC04","2","0","0","0","2","0","0","0","0","-1","25",,"18:45:00","20:30:00","7","Non","Vendredi","2","7"
"H","21","branche","GB04","-1","5","5","2","-5","-1","5","5","5","5","20",,"19:30:00","22:00:00","20","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","10"
"F","20","escom","","-1","2","2","5","-5","5","2","2","5","5","30",,"20:30:00","22:00:00","10","Non","Mardi, Jeudi, Vendredi","2","2"
"H","22","branche","GM04","5","0","5","5","2","2","2","2","2","2","30",,"19:00:00","21:45:00","10","Non","Mardi, Jeudi","3","5"
"H","18","tronc commun","TC02","0","0","-1","-1","-1","2","2","-1","5","-5","15",,"20:00:00","22:00:00","7","Oui","Vendredi","3","4"
"H","19","tronc commun","TC02","0","0","-1","0","0","0","5","0","5","2","1","20","20:00:00","21:00:00","5","Oui","Mercredi","3","4"
"H","21","branche","GSU02","0","2","2","0","2","5","5","2","5","5","15",,"19:30:00","22:00:00","20","Non","Lundi, Mercredi, Vendredi","4","4"
"F","19","tronc commun","TC04","0","0","0","2","2","2","5","0","5","5","30",,"20:00:00","22:30:00","10","Oui","Jeudi, Vendredi","2","5"
"H","24","branche","GM05","0","5","5","5","-1","2","2","2","5","5","15",,"19:45:00","22:00:00","5","Non","Mardi, Vendredi","4","5"
"H","18","tronc commun","TC02","0","5","-1","5","-1","2","5","5","2","5","25",,"19:30:00","22:00:00","14","Oui","Lundi, Mardi, Mercredi, Jeudi","3","6"
"F","19","escom","","5","0","2","0","-5","0","5","5","5","5","20",,"20:30:00","22:00:00","15","Non","Jeudi, Vendredi","3","6"
"F","20","tronc commun","TC02","2","2","2","2","-5","2","2","2","5","2","20",,"19:30:00","22:30:00","10","Oui","Lundi, Jeudi, Vendredi","3","6"
"H","22","branche","GM04","0","2","2","5","2","-1","2","2","2","2","30",,"09:30:00","23:00:00","10","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","200"
"H","22","branche","GSM04","0","0","0","0","2","0","5","0","5","5","20",,"20:30:00","21:45:00","6","Oui","Mercredi, Jeudi, Vendredi","4","3"
"F","18","tronc commun","TC02","5","0","0","0","2","0","0","0","0","-5","20",,"18:30:00","22:00:00","10","Non","Lundi, Mardi, Jeudi","4","4"
"F","24","diplomé","","2","2","2","2","-5","2","-1","-1","5","5","40",,"19:15:00","22:45:00","10","Non","Vendredi","3","5"
"F","21","branche","GB04","5","5","-1","2","-5","-1","2","2","5","5","15",,"20:00:00","22:00:00","5","Oui","Lundi, Vendredi","2","4"
"H","23","branche","GI04","2","0","2","2","0","0","5","0","5","2","30",,"20:15:00","22:00:00","4","Non","Jeudi, Vendredi","3","5"
